MUNICIPALITY,SCHOOL ID,SCHOOL NAME,PROGRAM OFFERINGS,STEM,ABM,HUMSS,GAS,TVL,Arts and Design,Sports,OFFERINGS COUNT,MUNICIPALITY COUNT
Pasay City,483035,APEC Schools-Roxas Boulevard,GAS|ABM,False,True,False,True,False,False,False,2,
Pasay City,600205,Philippine State College of Aeronautics-Villamor Airbase Campus,STEM|ABM,True,True,False,False,False,False,False,2,
Pasig City,401433,AMA Computer College-Pasig City,STEM|ABM|HUMSS|GAS|TVL,True,True,True,True,True,False,False,5,
Pasig City,401434,College of Arts & Sciences of Asia & the Pacific,ABM|HUMSS|GAS|TVL,False,True,True,True,True,False,False,4,
Pasig City,401438,"Infotech Institute of Arts & Sciences, Inc.",TVL,False,False,False,False,True,False,False,1,
Pasig City,401440,MFI Foundation Inc.-Pasig,GAS|TVL,False,False,False,True,True,False,False,2,
Pasig City,401442,"St. Chamuel Institute of Technology (Pasig City, Inc.)",TVL,False,False,False,False,True,False,False,1,
Pasig City,405701,Access Computer and Technical Colleges-Pasig Campus,TVL,False,False,False,False,True,False,False,1,
Pasig City,405866,University of Asia and the Pacific,ABM|HUMSS,False,True,True,False,False,False,False,2,
Pasig City,405957,"St. John's Academy Senior High School, Inc.",TVL,False,False,False,False,True,False,False,1,
Pasig City,406529,"Saint John Bosco Institute of Arts and Sciences, Inc-Rotonda",TVL,False,False,False,False,True,False,False,1,
Pasig City,406532,"Asian Summit College Foundation, Inc.",HUMSS|ABM|TVL,False,True,True,False,True,False,False,3,
Pasig City,406873,La Immaculada Concepcion School,STEM|ABM|HUMSS|TVL,True,True,True,False,True,False,False,4,
Pasig City,406879,St. Gabriel International School,STEM|ABM|TVL,True,True,False,False,True,False,False,3,
Pasig City,406883,"Academia de Sta. Martha, Inc.",ABM,False,True,False,False,False,False,False,1,
Pasig City,406889,Pasig Catholic College,ABM|STEM|HUMSS|GAS|Sports|Arts and Design|TVL,True,True,True,True,True,True,True,7,
Pasig City,406892,"Sta. Marta Educational Center, Inc.",ABM|GAS,False,True,False,True,False,False,False,2,
Pasig City,406895,GCF International Christian School,HUMSS|ABM|GAS,False,True,True,True,False,False,False,3,
Pasig City,406905,St. Paul College-Pasig,STEM|ABM|HUMSS|GAS|Arts and Design|Sports|TVL,True,True,True,True,True,True,True,7,
Pasig City,406908,Victory Christian International School,GAS,False,False,False,True,False,False,False,1,
Pasig City,406913,Dee Hwa Liong Academy,STEM|ABM|TVL,True,True,False,False,True,False,False,3,
Pasig City,406916,Greenville College,ABM|HUMSS|GAS,False,True,True,True,False,False,False,3,
Pasig City,406920,Inocencio School Montessori Playschool,GAS,False,False,False,True,False,False,False,1,
Pasig City,406926,Our Lady of Perpetual Help School,ABM|GAS|TVL,False,True,False,True,True,False,False,3,
Pasig City,406938,Arellano University-Andres Bonifacio Campus,STEM|ABM|HUMSS|GAS|Arts and Design|Sports|TVL,True,True,True,True,True,True,True,7,
Pasig City,406939,La Consolacion College-Pasig,STEM|ABM|HUMSS|GAS|Sports|TVL,True,True,True,True,True,False,True,6,
Pasig City,406942,"Niño Jesus House of Studies, Inc.",ABM|TVL,False,True,False,False,True,False,False,2,
Pasig City,406943,Pasig Christian Academy,GAS|ABM|Arts and Design,False,True,False,True,False,True,False,3,
Pasig City,406944,Pasig Community School,STEM|ABM|GAS,True,True,False,True,False,False,False,3,
Pasig City,406946,Sacred Heart Academy-Pasig,GAS|ABM|HUMSS|STEM|TVL,True,True,True,True,True,False,False,5,
Pasig City,406997,"Datamex College of Computer Technology-Brgy. San Jose, Pasig City",TVL,False,False,False,False,True,False,False,1,
Pasig City,406999,"Datamex Institute of Computer Technology-Kapasigan, Pasig City",TVL,False,False,False,False,True,False,False,1,
Pasig City,407287,Infotech College Institute of Arts and Sciences-Pasig,TVL,False,False,False,False,True,False,False,1,
Pasig City,407457,Montessori Professional College- Pasig,GAS|TVL,False,False,False,True,True,False,False,2,
Pasig City,485548,Domuschola International School,GAS,False,False,False,True,False,False,False,1,
Pasig City,485559,"St. Paul College, Pasig-Father Louis Chauvet Foundation Inc.",GAS|TVL,False,False,False,True,True,False,False,2,
Pasig City,485564,Lord's Hand Academy,GAS|TVL,False,False,False,True,True,False,False,2,
Pasig City,485607,Capellan Institute of Technology-Pasig City,TVL,False,False,False,False,True,False,False,1,
Pasig City,485609,CCF Life Academy Foundation Inc.,ABM|HUMSS|STEM,True,True,True,False,False,False,False,3,
Pasig City,485614,APEC Schools - C. Raymundo,ABM|GAS,False,True,False,True,False,False,False,2,
Pasig City,600184,Rizal Technological University-Pasig,ABM|STEM|HUMSS,True,True,True,False,False,False,False,3,
Pateros,401672,Pateros Technological College,ABM|HUMSS|GAS|TVL,False,True,True,True,True,False,False,4,
Pateros,407299,Pateros Catholic School,GAS|STEM|ABM|HUMSS|Arts and Design|TVL,True,True,True,True,True,True,False,6,
